INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%,CONDITION
Textiles,4,2003,UTILISATION,79.1,BEFORE COVID-19
Textiles,1,2004,UTILISATION,80.5,BEFORE COVID-19
Textiles,2,2004,UTILISATION,81.9,BEFORE COVID-19
Textiles,3,2004,UTILISATION,82.2,BEFORE COVID-19
Textiles,4,2004,UTILISATION,78.0,BEFORE COVID-19
Textiles,1,2005,UTILISATION,78.7,BEFORE COVID-19
Textiles,2,2005,UTILISATION,81.1,BEFORE COVID-19
Textiles,3,2005,UTILISATION,82.2,BEFORE COVID-19
Textiles,4,2005,UTILISATION,86.8,BEFORE COVID-19
Textiles,1,2006,UTILISATION,84.6,BEFORE COVID-19
Textiles,2,2006,UTILISATION,85.6,BEFORE COVID-19
Textiles,3,2006,UTILISATION,86.4,BEFORE COVID-19
Textiles,4,2006,UTILISATION,86.3,BEFORE COVID-19
Textiles,1,2007,UTILISATION,83.9,BEFORE COVID-19
Textiles,2,2007,UTILISATION,83.5,BEFORE COVID-19
Textiles,3,2007,UTILISATION,83.9,BEFORE COVID-19
Textiles,4,2007,UTILISATION,83.8,BEFORE COVID-19
Textiles,1,2008,UTILISATION,81.3,BEFORE COVID-19
Textiles,2,2008,UTILISATION,79.6,BEFORE COVID-19
Textiles,3,2008,UTILISATION,80.8,BEFORE COVID-19
Textiles,4,2008,UTILISATION,81.2,BEFORE COVID-19
Textiles,1,2009,UTILISATION,74.2,BEFORE COVID-19
Textiles,2,2009,UTILISATION,72.2,BEFORE COVID-19
Textiles,3,2009,UTILISATION,67.4,BEFORE COVID-19
Textiles,4,2009,UTILISATION,72.2,BEFORE COVID-19
Textiles,1,2010,UTILISATION,71.3,BEFORE COVID-19
Textiles,2,2010,UTILISATION,73.3,BEFORE COVID-19
Textiles,3,2010,UTILISATION,70.8,BEFORE COVID-19
Textiles,4,2010,UTILISATION,72.1,BEFORE COVID-19
Textiles,1,2011,UTILISATION,72.1,BEFORE COVID-19
Textiles,2,2011,UTILISATION,69.7,BEFORE COVID-19
Textiles,3,2011,UTILISATION,69.7,BEFORE COVID-19
Textiles,4,2011,UTILISATION,71.2,BEFORE COVID-19
Textiles,1,2012,UTILISATION,71.8,BEFORE COVID-19
Textiles,2,2012,UTILISATION,69.7,BEFORE COVID-19
Textiles,3,2012,UTILISATION,70.4,BEFORE COVID-19
Textiles,4,2012,UTILISATION,72.7,BEFORE COVID-19
Textiles,1,2013,UTILISATION,71.2,BEFORE COVID-19
Textiles,2,2013,UTILISATION,69.3,BEFORE COVID-19
Textiles,3,2013,UTILISATION,71.7,BEFORE COVID-19
Textiles,4,2013,UTILISATION,73.9,BEFORE COVID-19
Textiles,1,2014,UTILISATION,69.1,BEFORE COVID-19
Textiles,2,2014,UTILISATION,69.1,BEFORE COVID-19
Textiles,3,2014,UTILISATION,68.8,BEFORE COVID-19
Textiles,4,2014,UTILISATION,73.0,BEFORE COVID-19
Textiles,1,2015,UTILISATION,71.8,BEFORE COVID-19
Textiles,2,2015,UTILISATION,69.6,BEFORE COVID-19
Textiles,3,2015,UTILISATION,70.7,BEFORE COVID-19
Textiles,4,2015,UTILISATION,70.8,BEFORE COVID-19
Textiles,1,2016,UTILISATION,69.8,BEFORE COVID-19
Textiles,2,2016,UTILISATION,68.0,BEFORE COVID-19
Textiles,3,2016,UTILISATION,68.2,BEFORE COVID-19
Textiles,4,2016,UTILISATION,69.5,BEFORE COVID-19
Textiles,1,2017,UTILISATION,66.0,BEFORE COVID-19
Textiles,2,2017,UTILISATION,65.7,BEFORE COVID-19
Textiles,3,2017,UTILISATION,65.2,BEFORE COVID-19
Textiles,4,2017,UTILISATION,66.6,BEFORE COVID-19
Textiles,1,2018,UTILISATION,65.4,BEFORE COVID-19
Textiles,2,2018,UTILISATION,66.0,BEFORE COVID-19
Textiles,3,2018,UTILISATION,66.4,BEFORE COVID-19
Textiles,4,2018,UTILISATION,68.5,BEFORE COVID-19
Textiles,1,2019,UTILISATION,67.7,BEFORE COVID-19
Textiles,2,2019,UTILISATION,66.1,BEFORE COVID-19
Textiles,3,2019,UTILISATION,66.1,BEFORE COVID-19
Textiles,4,2019,UTILISATION,66.7,BEFORE COVID-19
Textiles,1,2020,UTILISATION,66.0,BEFORE COVID-19
Textiles,2,2020,UTILISATION,55.0,DURING COVID-19
Textiles,3,2020,UTILISATION,54.5,DURING COVID-19
Textiles,4,2020,UTILISATION,66.0,DURING COVID-19
Textiles,1,2021,UTILISATION,65.3,DURING COVID-19
Textiles,2,2021,UTILISATION,67.3,DURING COVID-19
Textiles,3,2021,UTILISATION,66.3,DURING COVID-19
Textiles,4,2021,UTILISATION,65.7,DURING COVID-19
Wearing apparel,4,2003,UTILISATION,90.7,BEFORE COVID-19
Wearing apparel,1,2004,UTILISATION,91.6,BEFORE COVID-19
Wearing apparel,2,2004,UTILISATION,91.7,BEFORE COVID-19
Wearing apparel,3,2004,UTILISATION,94.0,BEFORE COVID-19
Wearing apparel,4,2004,UTILISATION,92.9,BEFORE COVID-19
Wearing apparel,1,2005,UTILISATION,83.1,BEFORE COVID-19
Wearing apparel,2,2005,UTILISATION,80.8,BEFORE COVID-19
Wearing apparel,3,2005,UTILISATION,81.8,BEFORE COVID-19
Wearing apparel,4,2005,UTILISATION,84.5,BEFORE COVID-19
Wearing apparel,1,2006,UTILISATION,80.5,BEFORE COVID-19
Wearing apparel,2,2006,UTILISATION,83.0,BEFORE COVID-19
Wearing apparel,3,2006,UTILISATION,84.1,BEFORE COVID-19
Wearing apparel,4,2006,UTILISATION,86.9,BEFORE COVID-19
Wearing apparel,1,2007,UTILISATION,83.1,BEFORE COVID-19
Wearing apparel,2,2007,UTILISATION,81.3,BEFORE COVID-19
Wearing apparel,3,2007,UTILISATION,83.4,BEFORE COVID-19
Wearing apparel,4,2007,UTILISATION,84.9,BEFORE COVID-19
Wearing apparel,1,2008,UTILISATION,83.2,BEFORE COVID-19
Wearing apparel,2,2008,UTILISATION,83.2,BEFORE COVID-19
Wearing apparel,3,2008,UTILISATION,82.7,BEFORE COVID-19
Wearing apparel,4,2008,UTILISATION,81.3,BEFORE COVID-19
Wearing apparel,1,2009,UTILISATION,80.3,BEFORE COVID-19
Wearing apparel,2,2009,UTILISATION,80.4,BEFORE COVID-19
Wearing apparel,3,2009,UTILISATION,78.7,BEFORE COVID-19
Wearing apparel,4,2009,UTILISATION,80.2,BEFORE COVID-19
Wearing apparel,1,2010,UTILISATION,76.0,BEFORE COVID-19
Wearing apparel,2,2010,UTILISATION,76.4,BEFORE COVID-19
Wearing apparel,3,2010,UTILISATION,76.7,BEFORE COVID-19
Wearing apparel,4,2010,UTILISATION,79.3,BEFORE COVID-19
Wearing apparel,1,2011,UTILISATION,76.7,BEFORE COVID-19
Wearing apparel,2,2011,UTILISATION,79.7,BEFORE COVID-19
Wearing apparel,3,2011,UTILISATION,77.2,BEFORE COVID-19
Wearing apparel,4,2011,UTILISATION,80.9,BEFORE COVID-19
Wearing apparel,1,2012,UTILISATION,77.5,BEFORE COVID-19
Wearing apparel,2,2012,UTILISATION,77.3,BEFORE COVID-19
Wearing apparel,3,2012,UTILISATION,80.8,BEFORE COVID-19
Wearing apparel,4,2012,UTILISATION,86.0,BEFORE COVID-19
Wearing apparel,1,2013,UTILISATION,80.9,BEFORE COVID-19
Wearing apparel,2,2013,UTILISATION,81.6,BEFORE COVID-19
Wearing apparel,3,2013,UTILISATION,80.4,BEFORE COVID-19
Wearing apparel,4,2013,UTILISATION,81.7,BEFORE COVID-19
Wearing apparel,1,2014,UTILISATION,80.0,BEFORE COVID-19
Wearing apparel,2,2014,UTILISATION,77.6,BEFORE COVID-19
Wearing apparel,3,2014,UTILISATION,79.1,BEFORE COVID-19
Wearing apparel,4,2014,UTILISATION,80.5,BEFORE COVID-19
Wearing apparel,1,2015,UTILISATION,79.4,BEFORE COVID-19
Wearing apparel,2,2015,UTILISATION,78.9,BEFORE COVID-19
Wearing apparel,3,2015,UTILISATION,78.9,BEFORE COVID-19
